STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : AGRI BAYINDIRLIK VE ISKAN MUD.
EARTHQUAKE DATE         : 23/10/2011
EPICENTER COORDINATES   : 
EARTHQUAKE DEPTH (km)   : 
EARTHQUAKE MAGNITUDE    : 
STATION ID              : 401
STATION COORDINATES     : 39.71991N-43.01585E
STATION ALTITUDE (m)    : 1610
RECORDER TYPE           : CMG-5TD
RECORDER SERIAL NO      : 5D60
RECORD TIME             : 23/10/2011 10:40:43 (GMT)
NUMBER OF DATA          : 22241
SAMPLING INTERVAL (sec) : 0.01000000
RAW PGA VALUES (cm/s^2) : (N-S)  18.459245 (E-W)  15.087845 (U-D)   7.217400
Copyright EARTHQUAKE RESEARCH DEPARTMENT 
GENERAL DIRECTORATE OF DISASTER AFFAIRS 
       N-S           E-W           U-D
    -0.944804       1.602742       0.532183  
     1.605214       1.059932      -0.939780  
     3.028290       1.092488      -1.040625  
     1.299062       1.158226       0.271614  
     1.087447      -3.164219      -1.214755  
    -0.889709       0.401298       0.254076  
    -1.805035       0.427593       0.051133  
     0.229720      -2.257657      -0.067251  
    -0.268639       2.097344       1.035155  
    -0.109615       0.927204      -0.305270  
    -0.005060       0.675520      -0.056603  
    -1.094436       0.552809       0.006661  
     0.152086      -0.452047      -0.283974  
    -0.826475      -0.356257       0.227768  
    -0.105232      -0.967310       0.325481  
     1.009813      -0.029444       0.510886  
     1.064908       0.924699       0.013551  
     0.239111      -1.002370      -1.081339  
     0.411908       0.124571       0.033594  
    -0.174727       0.514618       0.178912  
    -0.525957      -0.186590       0.459524  
    -0.168466      -0.595419      -0.363522  
     0.295458      -1.241532      -0.683596  
     0.693018      -0.249824       0.182043  
    -1.196487       0.951621       0.743268  
    -0.094589       0.573469       0.289779  
    -0.033859      -0.197859      -0.491928  
     0.406900       0.699937      -0.000229  
    -0.429541       0.530270      -0.004614  
     0.294206       0.061337       0.133187  
     0.078209      -0.462065      -0.215073  
    -0.090207      -0.351249       0.162000  
    -0.556635      -0.124608       0.379349  
    -1.331094      -0.923484      -0.037812  
     0.957223       0.334933       0.272867  
     0.549020       0.180292      -0.375423  
     0.550898      -0.483351      -0.837682  
     1.069291       1.207687       0.031089  
     0.327388      -0.384431       0.211483  
    -0.665573      -0.376292       0.426327  
    -0.564148      -0.663662       0.161373  
    -0.062033      -0.400083       0.032342  
     0.389996       0.473923      -0.337215  
    -0.392602       1.786809      -0.183755  
     0.328014       1.441840       0.233405  
     0.043774      -0.920354      -0.042196  
    -0.630512       0.095145      -0.299633  
    -0.047007      -0.899693       0.458898  
    -0.153440       0.155875       0.318591  
    -0.551000       0.684285      -0.444950  
    -0.225439      -0.430135       0.181417  
     0.197790      -0.282380      -0.481906  
     0.306101      -0.301788      -0.073514  
     1.406747      -0.719383       0.102495  
     0.456360       0.713711      -0.081657  
     0.556532       0.582860       0.270361  
    -0.802684      -0.767591       0.021067  
    -1.758706       0.157127      -0.478774  
    -0.809571      -0.393822       0.354294  
     0.699278      -0.932249       0.146967  
     1.615857       1.053045      -0.110470  
    -0.038242       0.886508       0.611731  
    -0.528461      -0.512151      -0.153689  
    -0.643660      -0.291145      -0.101075  
     0.085095      -0.535942       0.370580  
     0.684879      -0.167182      -0.118613  
     0.359944      -0.232294      -0.355380  
    -0.659312       0.812631      -0.068503  
    -0.098346       0.664877      -0.175612  
     0.252258      -0.654897       0.079946  
    -0.080189      -0.448917      -0.274578  
    -0.233578       0.318655      -0.309655  
    -0.356290       1.009846       0.656203  
     1.240836      -1.227758      -0.304644  
    -0.334377      -0.118974      -0.238875  
    -0.543487       0.679903       0.676873  
    -1.038715      -1.235897       0.532183  
    -1.118227      -0.376918       0.060528  
    -0.061407       0.100780      -0.296501  
     0.813851       0.603521       0.241548  
     2.321448       0.149614      -0.310908  
     0.533994       1.630916      -0.096690  
     0.210937       1.401771       0.167011  
     0.371213      -0.796390      -0.513224  
    -1.091932      -2.022878      -0.698003  
    -0.854022      -0.234172       0.416305  
     0.088852      -0.924110      -0.029669  
    -0.470236       1.252138       0.007913  
     0.950336       0.863970       0.413173  
    -0.272395      -0.585402       0.115022  
    -0.992386       0.818266      -0.369160  
    -1.230295      -0.926615       0.063034  
    -0.184744       0.303003       0.220878  
     0.279180       0.005616      -0.119239  
     0.967240       1.342294       0.468293  
     1.386712       0.139597       0.292910  
     0.317997      -0.904702      -0.164964  
    -0.029477      -1.136977      -0.502576  
     0.034383      -0.224155      -0.367907  
     0.245372      -0.090174      -0.071635  
    -0.547244       0.714337       0.415678  
     0.442586       0.038172      -0.106086  
    -0.439558      -0.200990       0.354921  
    -0.553505      -0.828946      -0.182502  
    -1.096941       0.693050       0.481447  
     0.870198      -1.668518      -1.187195  
    -1.589664       2.599459       1.719775  
     2.325204       3.189851       0.117528  
     0.406900      -5.848843      -3.092604  
    -1.025568       1.856930       0.689401  
     1.595823       1.994667       1.459832  
    -1.291025      -2.398525       0.651192  
    -1.572134      -0.505890      -0.922868  
    -0.659938       1.814357       0.547215  
     3.217366      -2.178145      -0.529510  
    -0.512183       1.341041       0.300427  
     0.583454       0.902786      -0.180623  
    -1.164557      -1.356731       0.106879  
     0.297336       0.004990      -0.125503  
    -0.649295      -0.376918      -0.207557  
    -0.199770       0.678650       0.359305  
     1.154437       0.308012      -0.074141  
    -0.448949       0.626686      -0.244513  
     0.126417      -0.649888      -0.364149  
    -0.894717       0.338690       0.711324  
     0.932806      -0.899693      -0.013383  
    -0.380081       0.146484      -0.231985  
     0.224085       0.655485      -0.723057  
    -0.963586       1.322259       0.401272  
     0.095739       0.018138       0.493348  
     0.165860       0.049442       0.306064  
    -0.814579      -1.443755      -0.318424  
     0.155216      -1.587754      -0.282721  
     1.625248       0.348707       0.084330  
     0.657331       0.711206       0.435096  
    -0.761363       0.311768      -0.059734  
    -0.641156      -0.065757      -0.322182  
     0.351179      -0.539698      -0.099195  
     0.195911      -0.356883       0.036100  
     0.116399       1.195165       0.299800  
     0.505194      -0.716252      -0.211315  
    -0.328116      -0.200990      -0.169975  
    -0.435176      -0.096435      -0.101075  
    -0.515314       1.162609       0.509633  
     0.247250       0.213474       0.026704  
    -0.294934      -0.415735      -0.081657  
     0.050661      -0.346240      -0.086668  
    -0.177858      -0.230415       0.135066  
     0.494551       0.205335      -0.077899  
     0.472638      -0.214764       0.007913  
     0.128921       0.810753      -0.210689  
    -0.206031       0.446375      -0.312787  
    -0.518444      -0.508394       0.304811  
     0.108886      -0.304919       0.034847  
     0.018731       0.289856       0.197076  
    -0.054520       0.002486      -0.044075  
     0.694896      -0.294275      -0.061613  
     0.065687      -0.040714      -0.164964  
    -0.418898       0.854578      -0.366654  
     0.314240       0.772562       0.261592  
    -0.396359      -0.055740       0.103121  
    -0.413263      -1.167655      -0.270820  
    -0.494653      -0.353127       0.148846  
     0.116399      -0.394448       0.274746  
     0.936562      -0.221650       0.150099  
    -0.450202       0.003738      -0.287732  
    -0.150310       0.628564       0.298548  
     0.588462       0.291734       0.380602  
    -0.293056      -0.962927      -0.387951  
     0.521472      -0.184086      -0.268315  
     0.318623       0.127701       0.307317  
    -0.058903       0.767554       0.133187  
    -0.266761       0.031911      -0.511345  
    -0.072050       0.364985      -0.173107  
    -0.119006      -0.205998       0.284141  
    -0.096467      -0.325579       0.302306  
    -0.021338      -0.041340      -0.480653  
    -1.146401       0.289230      -0.132393  
    -0.436428       0.393785       0.384360  
     0.636044      -0.446413       0.170769  
     0.837016       0.713085       0.048001  
     0.067565      -0.361892      -0.314666  
    -0.286795      -0.559733       0.252197  
     0.579697      -0.204746       0.376844  
    -0.508427      -0.116469      -0.285853  
    -0.381333      -0.157164      -0.463115  
     0.790686       0.452010       0.115022  
     0.610375       0.799484      -0.059108  
     0.212815      -0.128365      -0.336589  
    -0.182866       0.498340       0.352415  
    -0.378829      -0.487108       0.197703  
    -0.367559      -0.762582       0.115648  
    -0.260500      -0.818929      -0.283974  
    -0.721294       0.307386      -0.078525  
     0.077582       0.579730       0.340514  
     0.149582       0.326168       0.136945  
     0.352431       0.056328      -0.367907  
     0.003079      -0.097687      -0.332830  
     0.532115       0.689294       0.319844  
     0.471386       0.191561       0.198329  
     0.200294      -0.124608       0.073055  
    -0.391350      -1.269080      -0.358512  
    -0.645538      -0.405717       0.196450  
     0.017479      -0.115843       0.406909  
    -0.494027      -0.013792       0.086209  
    -0.049511      -0.420743      -0.506334  
     0.090730       1.342920      -0.006493  
     1.093082       0.984177       0.208977  
     0.031253      -0.351875      -0.208183  
     0.304223       0.347455      -0.131140  
    -0.579800       0.038172      -0.060361  
    -0.569157       0.049442       0.281636  
    -0.408880      -1.115064      -0.289611  
    -0.226066       0.170901       0.215241  
     0.788808       0.411315       0.343020  
     0.171494       0.061963      -0.228853  
     0.110139      -0.049479      -0.356006  
    -0.298065       0.349959       0.121286  
     0.698652      -0.291771       0.010419  
    -0.018834      -0.103322      -0.168096  
    -0.216674       0.013755       0.086209  
    -0.584808      -1.068735       0.029836  
    -0.294934      -0.010036       0.032968  
     0.358692       0.124571       0.089967  
     0.140190      -0.693087       0.217120  
     0.019983       0.307386       0.213988  
     0.523976       0.308638       0.200834  
     0.229720      -0.236676      -0.109217  
     0.140190       0.174657      -0.342226  
    -0.088328       0.153371      -0.032801  
    -0.556009       0.804492       0.005408  
    -0.157823       0.248535      -0.111723  
    -0.395107      -0.237302      -0.151810  
    -0.237335      -0.113339      -0.354753  
     0.938440       0.484566       0.179538  
     0.427560       0.104536       0.258460  
    -1.349876       0.209092      -0.067877  
     0.178381      -0.089548      -0.169975  
    -0.259248      -0.042592       0.089967  
     0.096365      -0.257963       0.327361  
     0.234102      -0.813295       0.026704  
     0.078209       0.372498      -0.147426  
     0.378100       0.020642       0.090594  
    -0.484010      -0.391318       0.179538  
     0.379978       0.100154       0.183922  
     0.415039      -0.107704      -0.168096  
     0.215320      -0.100191      -0.064745  
     0.191529      -0.225407       0.202713  
     0.065687      -0.540324      -0.193151  
    -0.435802       0.203457      -0.314666  
    -0.156571       1.135688      -0.098569  
    -0.413889       0.452636      -0.002109  
    -0.312464       0.066346      -0.004614  
     0.559663       0.225370       0.372459  
     0.307979      -1.045570      -0.299007  
    -0.694998      -0.007532      -0.443697  
    -0.791414       0.728111       0.518403  
     0.373092       0.490827       0.368701  
     0.629784      -0.414483      -0.490675  
     0.624775       0.283595      -0.161832  
    -0.333751       0.093267       0.557237  
     0.128295      -1.331687       0.035473  
    -0.255491      -0.467699      -0.516356  
    -0.350029       0.837674       0.567259  
     0.087600      -0.485855       0.056770  
    -0.996142      -0.753817      -0.609058  
     1.171968       1.435579       0.469546  
     0.872076      -1.000492      -0.231359  
    -0.230448       0.211596      -0.333457  
     0.324257       1.255895       0.262218  
    -0.618617      -0.505264       0.435096  
    -0.282413      -1.074369       0.277251  
     0.406274      -1.197707      -0.508213  
    -0.386342       2.107987      -0.432423  
    -0.549122       1.332902       0.509633  
    -0.338134      -0.705609      -0.101075  
     0.294832       0.905917      -0.074141  
     1.160072      -0.391318       0.440733  
    -0.234205      -1.875124      -0.638498  
    -1.061254      -0.152782      -0.545169  
     0.445091       2.094214       0.650566  
     0.147703      -0.799521       0.327987  
     0.244745      -0.427004      -0.535773  
     0.471386       0.483314      -0.087295  
    -1.152662      -1.320418       0.066792  
     0.227215       0.443871       0.864784  
     1.219550      -1.185185      -0.134898  
     0.035635       1.143201      -0.356006  
    -0.710650       0.551556       0.363690  
    -1.053115      -1.197707      -0.352874  
     0.053792       1.268416       0.056144  
     1.835611      -0.454552      -0.426159  
     0.359944       0.906543       0.370580  
    -0.542861       0.019390       0.054264  
    -1.975955      -0.877781      -0.466873  
    -0.976734       0.467036       0.337382  
     1.997139       0.061963      -0.006493  
     0.687383       0.665503       0.207098  
     0.134556      -0.751939      -0.273326  
    -1.119479      -0.178451      -0.216326  
    -0.412011      -0.212259       0.113769  
