STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : BITLIS DSI 173. SB. MUD.
EARTHQUAKE DATE         : 23/10/2011
EPICENTER COORDINATES   : 
EARTHQUAKE DEPTH (km)   : 
EARTHQUAKE MAGNITUDE    : 
STATION ID              : 1302
STATION COORDINATES     : 38.47440N-42.15912E
STATION ALTITUDE (m)    : 1794
RECORDER TYPE           : CMG-5TD
RECORDER SERIAL NO      : 5J60
RECORD TIME             : 23/10/2011 10:41:18 (GMT)
NUMBER OF DATA          : 19107
SAMPLING INTERVAL (sec) : 0.01000000
RAW PGA VALUES (cm/s^2) : (N-S)  89.668149 (E-W) 102.243526 (U-D)  35.511623
Copyright EARTHQUAKE RESEARCH DEPARTMENT 
GENERAL DIRECTORATE OF DISASTER AFFAIRS 
       N-S           E-W           U-D
     0.006227      -0.001641       0.002165  
     0.003709       0.009063      -0.004966  
     0.005283       0.004971       0.012088  
     0.003394       0.003396      -0.005586  
    -0.007310       0.007804      -0.001555  
     0.000875      -0.001326       0.008057  
     0.007802       0.010323      -0.003106  
    -0.006681      -0.000696      -0.001245  
    -0.001643      -0.009197       0.004336  
     0.015672      -0.002271       0.002476  
     0.006857       0.008749      -0.000935  
     0.003709      -0.003845       0.002165  
    -0.000069      -0.011716      -0.001866  
     0.004653       0.008749       0.004026  
     0.014413       0.003711      -0.002486  
     0.002135       0.000248       0.002786  
    -0.001958      -0.004789       0.002165  
    -0.005421      -0.002585       0.000615  
     0.012839       0.016934       0.006196  
     0.005913      -0.000067      -0.003726  
    -0.011088      -0.004160       0.006817  
     0.004338       0.007489       0.001855  
     0.005913       0.002137      -0.002176  
     0.004653       0.006230       0.004336  
     0.002764      -0.007308      -0.001245  
     0.001820       0.006860       0.004646  
     0.009376       0.009693       0.002786  
    -0.002903      -0.008567       0.006507  
     0.005283       0.015045       0.004336  
     0.005598       0.009693      -0.002486  
    -0.008884       0.002137       0.008057  
     0.007172       0.004026      -0.001555  
     0.009061       0.005285       0.006507  
    -0.000384       0.007174      -0.008067  
    -0.000069      -0.002271       0.004956  
     0.016617       0.005915       0.006196  
     0.004653      -0.002900      -0.010238  
     0.006542      -0.004789       0.007127  
     0.009376       0.002767      -0.001866  
     0.004338       0.000563      -0.002486  
     0.004338       0.000248      -0.007447  
     0.000875      -0.005104       0.004026  
     0.005598      -0.003845       0.004956  
    -0.003847       0.007804      -0.001555  
     0.004653       0.008434       0.013948  
     0.002135      -0.005419       0.000925  
    -0.002273       0.009063      -0.000005  
     0.002449       0.006860       0.010538  
     0.001505      -0.000067      -0.000935  
     0.003079       0.005600       0.004026  
     0.006542      -0.002900      -0.001245  
     0.005913      -0.006049       0.005576  
     0.003394       0.004026      -0.000005  
     0.012524       0.010323      -0.001555  
     0.009691       0.003711       0.004646  
    -0.003532       0.005285      -0.005586  
     0.001505       0.004656       0.000925  
     0.014413       0.006545      -0.001555  
    -0.006681      -0.004160       0.001235  
    -0.007940      -0.004474       0.006507  
     0.008746       0.011267      -0.001245  
    -0.004792       0.005285       0.004336  
     0.001505       0.000248       0.003096  
     0.000875       0.006230      -0.004036  
     0.007487      -0.000067       0.000305  
     0.002135      -0.006049       0.001855  
     0.004968      -0.000382       0.001855  
